t(s)	v_x(t)	v_y(t)	v_z(t)
1.28500000000000e+00	-7.73566281043732e-08	-2.01776223197385e-07	-1.10412245322206e-06
1.29000000000000e+00	-1.07117140198558e-08	-4.94178185377043e-07	-1.43440517644210e-06
1.29500000000000e+00	-8.24746572470756e-08	-2.81033213011107e-07	-1.01706514232000e-06
1.30000000000000e+00	-1.46771601480988e-07	8.58665606140629e-08	1.04034991035097e-07
1.30500000000000e+00	-1.00676937769981e-07	5.35555819794634e-07	5.52644793319981e-07
1.31000000000000e+00	1.72719381298960e-07	4.53247561645999e-07	3.70499838856711e-07
1.31500000000000e+00	-3.39826517727592e-08	-4.45816207619941e-08	2.52438187912485e-07
1.32000000000000e+00	-1.21234204272727e-07	-2.17411082051245e-07	9.38389654580751e-08
1.32500000000000e+00	-1.11042488557728e-07	-2.74310926488058e-07	-4.26353394125804e-09
1.33000000000000e+00	-1.31658767889386e-07	-1.87344141182927e-07	-3.84753947785703e-07
1.33500000000000e+00	-1.55340421099775e-07	-3.00596758737540e-07	7.69181875390903e-08
1.34000000000000e+00	-1.93164565977134e-07	-1.12095264398115e-07	5.26814365878620e-07
1.34500000000000e+00	-1.25627220622226e-07	-3.09452546356538e-08	-1.84332176953131e-07
1.35000000000000e+00	-2.29571948607048e-07	-1.25512928671369e-07	-9.92486109631666e-07
1.35500000000000e+00	-1.87769725742396e-07	-3.23813991635403e-08	-9.05447141634550e-07
1.36000000000000e+00	-1.16385046244703e-07	6.31196277184568e-09	-7.86309430645275e-07
1.36500000000000e+00	-1.31183989380865e-07	4.88286999021534e-08	-7.90140784179940e-07
1.37000000000000e+00	2.26284508871072e-08	-4.67330633727230e-08	-1.22111626517878e-06
1.37500000000000e+00	3.12301330614659e-09	-1.05959864231913e-07	-1.11575351262854e-06
1.38000000000000e+00	2.03170156342818e-07	-1.63174712010352e-07	-1.06408055677232e-06
1.38500000000000e+00	1.49046827631493e-07	-9.16589978673423e-08	-9.14358789189005e-07
1.39000000000000e+00	1.73122596580467e-07	-1.36192891157414e-07	-3.51990977024163e-07
1.39500000000000e+00	-1.75423771367665e-07	1.16553325546250e-07	2.18570772363740e-07
1.40000000000000e+00	-4.94372710916092e-07	1.74734536504284e-07	-8.32353871831969e-08
1.40500000000000e+00	-3.66604009464751e-07	-9.67661727431422e-09	-4.75154314782599e-07
1.41000000000000e+00	-2.62898526617335e-07	-1.42149143680835e-07	-9.35623010415729e-07
1.41500000000000e+00	-2.35939986338348e-07	2.71312656108688e-08	-7.02244743888481e-07
1.42000000000000e+00	-1.38491540935951e-07	9.75565642793131e-08	-4.03034531693341e-07
1.42500000000000e+00	-4.38948845869154e-08	-5.11731360378350e-08	4.57396417834266e-08
1.43000000000000e+00	6.77392776078847e-08	-1.87319974425803e-07	6.01513180536741e-08
1.43500000000000e+00	-1.20710230678563e-07	-1.83027453855645e-07	-1.94571347072875e-07
1.44000000000000e+00	-2.74515587536835e-07	-2.88537751693781e-07	-5.45892881283643e-07
1.44500000000000e+00	-1.73296447046662e-07	-3.63842265521421e-07	-4.55346376465724e-07
1.45000000000000e+00	1.33210787617650e-07	-2.25166663993469e-07	-3.17817044200758e-07
1.45500000000000e+00	1.32802372413585e-07	-2.62855079829195e-07	-4.45690078480558e-07
1.46000000000000e+00	-8.10480288366089e-09	-2.87656714192038e-07	-9.24187534996433e-07
1.46500000000000e+00	-2.23792940111074e-07	-3.11637650893905e-07	-1.55250534119464e-06
1.47000000000000e+00	-4.41977175950943e-07	-5.43941162513090e-08	-1.74023000371067e-06
1.47500000000000e+00	-7.70782723589458e-07	1.32163619851129e-07	-1.21046286304891e-06
1.48000000000000e+00	-7.42437445663538e-07	2.65347305977120e-07	-1.09924997308410e-06
